date,average_temperature,minimum_temperature,maximum_temperature,average_wind_speed
2026-09-12,16.129166666666666,11.0,22.1,5.445833333333333
2026-09-13,16.9375,12.4,22.2,5.008333333333334
2026-09-14,16.692,13.2,20.0,3.944
